2023-01-25T04:41:58.790871+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '0c5dd357-26bb-430b-9a02-9a91dfd968ef', 'counter': 1, 'stdout': '', 'start_line': 0, 'end_line': 1, 'runner_ident': 'ea4724fb-b7d5-4238-a223-087abac06491', 'created': '2023-01-25T04:41:58.785637'}
2023-01-25T04:41:58.791706+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'f7a1415d-d26c-4acc-a66d-53d7cf0d1994', 'counter': 2, 'stdout': 'playbook: /home/student/RH294-ansible-demo/ansible2.7-playbooks/Chap06/import-task.yaml', 'start_line': 1, 'end_line': 2, 'runner_ident': 'ea4724fb-b7d5-4238-a223-087abac06491', 'created': '2023-01-25T04:41:58.785905'}
2023-01-25T04:41:58.791775+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'b1e2d7c5-e93f-4f3a-8118-a87dcb54621b', 'counter': 3, 'stdout': '', 'start_line': 2, 'end_line': 3, 'runner_ident': 'ea4724fb-b7d5-4238-a223-087abac06491', 'created': '2023-01-25T04:41:58.785977'}
2023-01-25T04:41:58.791845+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '84d707c0-c92e-4e17-963b-b8192811a2d3', 'counter': 4, 'stdout': '  play #1 (servera): Demo of import Playbook\tTAGS: []', 'start_line': 3, 'end_line': 4, 'runner_ident': 'ea4724fb-b7d5-4238-a223-087abac06491', 'created': '2023-01-25T04:41:58.786024'}
2023-01-25T04:41:58.791929+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'a9a351ec-beab-4d68-8b31-8a770f5bb9e2', 'counter': 5, 'stdout': '    tasks:', 'start_line': 4, 'end_line': 5, 'runner_ident': 'ea4724fb-b7d5-4238-a223-087abac06491', 'created': '2023-01-25T04:41:58.786358'}
2023-01-25T04:41:58.791982+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '9ed15028-35c4-4aa0-943a-8d3517a29455', 'counter': 6, 'stdout': '      From main playbook\tTAGS: []', 'start_line': 5, 'end_line': 6, 'runner_ident': 'ea4724fb-b7d5-4238-a223-087abac06491', 'created': '2023-01-25T04:41:58.786427'}
2023-01-25T04:41:58.792030+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '18d7e75a-e4e7-458c-84f3-db1210e7cc39', 'counter': 7, 'stdout': '      Display message-1\tTAGS: []', 'start_line': 6, 'end_line': 7, 'runner_ident': 'ea4724fb-b7d5-4238-a223-087abac06491', 'created': '2023-01-25T04:41:58.786473'}
2023-01-25T04:41:58.792086+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '682a0ec8-78f6-422f-95ad-08a501d2691c', 'counter': 8, 'stdout': '      Display message-2\tTAGS: []', 'start_line': 7, 'end_line': 8, 'runner_ident': 'ea4724fb-b7d5-4238-a223-087abac06491', 'created': '2023-01-25T04:41:58.786515'}
2023-01-25T04:43:08.696673+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '1639a860-d1a0-492b-a40f-21264878e4ea', 'counter': 1, 'stdout': '', 'start_line': 0, 'end_line': 1, 'runner_ident': '3fd57f19-e480-4735-9b80-9f31a3abab12', 'created': '2023-01-25T04:43:08.693679'}
2023-01-25T04:43:08.697450+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '6f278b9a-c414-4ad5-8192-78dd32abe3ac', 'counter': 2, 'stdout': 'playbook: /home/student/RH294-ansible-demo/ansible2.7-playbooks/Chap06/import-task.yaml', 'start_line': 1, 'end_line': 2, 'runner_ident': '3fd57f19-e480-4735-9b80-9f31a3abab12', 'created': '2023-01-25T04:43:08.693991'}
